record_type,entity_id,seed,epoch,validation_scope,metric,k_definition,estimate,median_across_genomes,mean_across_lineages,lineage_bootstrap_ci_low,lineage_bootstrap_ci_high,n_genomes,n_lineages,training_loss,huber_loss,ranking_loss,rank_weight,epoch_runtime_seconds,cumulative_training_runtime_seconds,checkpoint_sha256,status,notes
learning_curve,member_seed_37,37.0,3.0,fixed_512_windows_per_validation_genome,mean_within_genome_spearman,,0.22786282595344823,,,,,,,0.3632368166089634,0.3632368166089634,0.6806056267685361,0.0,197.6583288999973,605.848138500005,see_epoch_checkpoint,valid,CPU runtime; peak GPU memory not available
learning_curve,member_seed_37,37.0,4.0,fixed_512_windows_per_validation_genome,mean_within_genome_spearman,,0.2449157239964077,,,,,,,3.0741650873912127,0.3666079137924213,0.6768892925718556,4.0,197.93057969998335,803.7787181999884,6e84577aff38efc48b2e8899f15fa8e45dc820ebf70e0c2ac0029a968ebaf41c,valid,CPU runtime; peak GPU memory not available
learning_curve,member_seed_53,53.0,1.0,fixed_512_windows_per_validation_genome,mean_within_genome_spearman,,0.1422197859265432,,,,,,,0.37501791933020534,0.37501791933020534,0.6930441752724026,0.0,196.0935191999888,196.0935191999888,see_epoch_checkpoint,valid,CPU runtime; peak GPU memory not available
learning_curve,member_seed_53,53.0,2.0,fixed_512_windows_per_validation_genome,mean_within_genome_spearman,,0.20869978470111053,,,,,,,0.36621558025551304,0.36621558025551304,0.6856579306908852,0.0,196.77732619998278,392.8708453999716,see_epoch_checkpoint,valid,CPU runtime; peak GPU memory not available
learning_curve,member_seed_53,53.0,3.0,fixed_512_windows_per_validation_genome,mean_within_genome_spearman,,0.22411557720652506,,,,,,,0.3617912396284693,0.3617912396284693,0.6804633549446069,0.0,192.07311739999568,584.9439627999673,see_epoch_checkpoint,valid,CPU runtime; peak GPU memory not available
learning_curve,member_seed_53,53.0,4.0,fixed_512_windows_per_validation_genome,mean_within_genome_spearman,,0.2535709430169815,,,,,,,3.079164347210944,0.3648576241904411,0.6785766806291498,4.0,197.49123350001173,782.435196299979,d6a772b890e0dc99769d212251045cede6c6dfd913736ee8811363932293d175,valid,CPU runtime; peak GPU memory not available
learning_curve,member_seed_71,71.0,1.0,fixed_512_windows_per_validation_genome,mean_within_genome_spearman,,0.020657310696329936,,,,,,,0.3818140813837881,0.3818140813837881,0.6951729591917877,0.0,190.77357550000306,190.77357550000306,see_epoch_checkpoint,valid,CPU runtime; peak GPU memory not available
learning_curve,member_seed_71,71.0,2.0,fixed_512_windows_per_validation_genome,mean_within_genome_spearman,,0.0788388295927844,,,,,,,0.37410135703962205,0.37410135703962205,0.6931338311681425,0.0,212.24673549999716,403.0203110000002,see_epoch_checkpoint,valid,CPU runtime; peak GPU memory not available
learning_curve,member_seed_71,71.0,3.0,fixed_512_windows_per_validation_genome,mean_within_genome_spearman,,0.15459022047079138,,,,,,,0.37302937275833553,0.37302937275833553,0.6914585550914064,0.0,220.251714300015,623.2720253000152,see_epoch_checkpoint,valid,CPU runtime; peak GPU memory not available
learning_curve,member_seed_71,71.0,4.0,fixed_512_windows_per_validation_genome,mean_within_genome_spearman,,0.22160131113674764,,,,,,,3.1067894985134474,0.37178965301617334,0.6837499602405346,4.0,204.23376010003267,827.5057854000479,12c043a9d6480e1e118bf8a12cb4f79379cf65d48b11e8840bb24fc0b68bad30,valid,CPU runtime; peak GPU memory not available
final_validation_metric,member_seed_11,11.0,4.0,full_validation,ndcg_at_k,fixed_100,0.2893041270485099,0.29235957737265833,0.2868113833980126,0.277019613577187,0.29612576321059647,45.0,19.0,,,,,,945.520563600061,7323980992f3009f384db0dde017893a28831a646639da8008e6f25aa461ebdf,valid,full inference seconds=189.887; peak GPU memory n/a
