teacher_call_fraction_requested,teacher_calls,teacher_call_fraction_actual,student_coverage,spearman,risk,recall_top_1_percent,recall_top_5_percent,recall_fixed_100,ndcg_top_1_percent,ndcg_top_5_percent,ndcg_fixed_100,replicate,aurc_risk_coverage
0.75,265397,0.7500480443138141,0.2499519556861859,0.8643751997824146,0.1356248002175851,0.7643079119052986,0.7534822744437741,0.7604444444444444,0.970168449902171,0.9436862691884762,0.9675898380506331,5,0.32750640132885467
1.0,353840,1.0,0.0,1.0,6.908054375445419e-17,1.0,1.0,1.0,1.0,1.0,1.0,5,0.32750640132885467
0.0,0,0.0,1.0,0.26191017193450705,0.738089828065493,0.010875658244192085,0.09493499333578921,0.014222222222222223,0.34683176722158043,0.41277833597756136,0.35345912172438604,6,0.3278464145145845
0.01,3558,0.010055392267691612,0.9899446077323084,0.2718883360289325,0.7281116639710676,0.01797457422583303,0.09673732044218183,0.019111111111111113,0.4169754826373694,0.44125341638994126,0.4147409830258567,6,0.3278464145145845
0.05,17709,0.050048044313814155,0.9499519556861858,0.3115253754304819,0.688474624569518,0.05310566059944439,0.1074465475621817,0.05333333333333332,0.5723449746129505,0.5039366945119328,0.5478975126428636,6,0.3278464145145845
0.1,35401,0.10004804431381416,0.8999519556861858,0.36029015912478973,0.6397098408752103,0.1050585040811413,0.12565622938143717,0.10355555555555555,0.6869196583264889,0.5623471103715159,0.6634079780955056,6,0.3278464145145845
0.2,70783,0.20004239204160074,0.7999576079583992,0.45122757591347606,0.5487724240865239,0.2047215966792878,0.20064491154193845,0.20711111111111108,0.7986054191565229,0.6642850199941492,0.7810053476743559,6,0.3278464145145845
0.3,106173,0.30005934885824104,0.699940651141759,0.5380770984265882,0.4619229015734118,0.3061078562950433,0.3015789590336666,0.3084444444444444,0.8576615183785598,0.7490223316713838,0.8448275214808054,6,0.3278464145145845
0.5,176928,0.5000226090888538,0.49997739091114624,0.6946431495194022,0.30535685048059785,0.4908566452577645,0.5025526216303587,0.49555555555555564,0.9215400330314473,0.856977160143097,0.9144749960434109,6,0.3278464145145845
0.75,265397,0.7500480443138141,0.2499519556861859,0.8636250087755581,0.1363749912244417,0.7513520235395786,0.7531631726668648,0.7522222222222221,0.9697493587425091,0.9427249968216526,0.966909554669538,6,0.3278464145145845
1.0,353840,1.0,0.0,1.0,6.908054375445419e-17,1.0,1.0,1.0,1.0,1.0,1.0,6,0.3278464145145845
0.0,0,0.0,1.0,0.26191017193450705,0.738089828065493,0.010875658244192085,0.09493499333578921,0.014222222222222223,0.34683176722158043,0.41277833597756136,0.35345912172438604,7,0.3273922294651448
0.01,3558,0.010055392267691612,0.9899446077323084,0.27196121275601526,0.7280387872439846,0.015453431060316087,0.09778805234517023,0.018000000000000002,0.41669920815765615,0.44109158289105366,0.4141660366278231,7,0.3273922294651448
0.05,17709,0.050048044313814155,0.9499519556861858,0.3114650105447315,0.6885349894552686,0.04930344772451496,0.10746764090276315,0.04822222222222221,0.5691212224672249,0.5029266350090462,0.5449084355981547,7,0.3273922294651448
0.1,35401,0.10004804431381416,0.8999519556861858,0.3600649498644952,0.6399350501355047,0.09752766431733711,0.12794654251671295,0.09555555555555553,0.685300530537602,0.5616101334637611,0.6623343690121545,7,0.3273922294651448
0.2,70783,0.20004239204160074,0.7999576079583992,0.45172130934714616,0.5482786906528538,0.1871706983318425,0.19796291035588112,0.18377777777777782,0.7888205102335487,0.6594221338228325,0.7722430178345634,7,0.3273922294651448
0.3,106173,0.30005934885824104,0.699940651141759,0.5386070664325585,0.4613929335674415,0.2923935267489704,0.2995965335669569,0.28977777777777775,0.8527882759937224,0.7466599944290212,0.8403211760794032,7,0.3273922294651448
0.5,176928,0.5000226090888538,0.49997739091114624,0.6958396567907992,0.30416034320920077,0.48404655933737184,0.49611212329580956,0.48399999999999993,0.9185238898019554,0.8547899772146582,0.9117380861182378,7,0.3273922294651448
0.75,265397,0.7500480443138141,0.2499519556861859,0.8639205988249786,0.1360794011750215,0.7391813733038346,0.7493786690756721,0.7397777777777778,0.9680157286939198,0.9408776056499266,0.9649881470791761,7,0.3273922294651448
1.0,353840,1.0,0.0,1.0,6.908054375445419e-17,1.0,1.0,1.0,1.0,1.0,1.0,7,0.3273922294651448
0.0,0,0.0,1.0,0.26191017193450705,0.738089828065493,0.010875658244192085,0.09493499333578921,0.014222222222222223,0.34683176722158043,0.41277833597756136,0.35345912172438604,8,0.32716187845809075
0.01,3558,0.010055392267691612,0.9899446077323084,0.27215786290192007,0.7278421370980801,0.019961900617115017,0.09912480173163415,0.022222222222222223,0.42520105630772276,0.4445755452373579,0.4218952905223279,8,0.32716187845809075
0.05,17709,0.050048044313814155,0.9499519556861858,0.3118069454269954,0.6881930545730046,0.053125055466404864,0.10961805720264381,0.051999999999999984,0.5762535248432586,0.5063476922612169,0.5514439576734199,8,0.32716187845809075
0.1,35401,0.10004804431381416,0.8999519556861858,0.3593165212496664,0.6406834787503335,0.10279055287674424,0.12703410525107703,0.10333333333333335,0.6874490404135981,0.5635252415680481,0.6649532258214792,8,0.32716187845809075
0.2,70783,0.20004239204160074,0.7999576079583992,0.45171039163460625,0.5482896083653939,0.20923965571424705,0.1964118614614529,0.206,0.7940515536396914,0.6622501407791174,0.7767789713221164,8,0.32716187845809075
0.3,106173,0.30005934885824104,0.699940651141759,0.5388508264689034,0.46114917353109663,0.30631856263079305,0.2999151850914368,0.30533333333333335,0.8529591434100905,0.7472762046967161,0.8406107164851234,8,0.32716187845809075
0.5,176928,0.5000226090888538,0.49997739091114624,0.695936262456127,0.304063737543873,0.4967885331729545,0.49611694352250557,0.49777777777777776,0.9202573024884193,0.8546232805376223,0.9131355716193926,8,0.32716187845809075
0.75,265397,0.7500480443138141,0.2499519556861859,0.8647565116512629,0.1352434883487371,0.7466427496974174,0.7456890076025049,0.7482222222222222,0.9687724773190826,0.9408436638469927,0.9658085735264998,8,0.32716187845809075
1.0,353840,1.0,0.0,1.0,6.908054375445419e-17,1.0,1.0,1.0,1.0,1.0,1.0,8,0.32716187845809075
0.0,0,0.0,1.0,0.26191017193450705,0.738089828065493,0.010875658244192085,0.09493499333578921,0.014222222222222223,0.34683176722158043,0.41277833597756136,0.35345912172438604,9,0.32744272659422147
0.01,3558,0.010055392267691612,0.9899446077323084,0.2721254540211027,0.7278745459788973,0.017946195069085052,0.09938346121870961,0.022222222222222227,0.42406711893900967,0.44415526210494527,0.4204800205299527,9,0.32744272659422147
0.05,17709,0.050048044313814155,0.9499519556861858,0.3113868026894241,0.6886131973105759,0.04718152804377233,0.10932176273176403,0.04999999999999998,0.5697505070733953,0.5039321448249886,0.546002971417811,9,0.32744272659422147
0.1,35401,0.10004804431381416,0.8999519556861858,0.3585185035010202,0.6414814964989798,0.0932554840428085,0.12490454562989009,0.09533333333333334,0.6798975457755956,0.5597738160845159,0.6577762213929846,9,0.32744272659422147
0.2,70783,0.20004239204160074,0.7999576079583992,0.4499793969969349,0.5500206030030651,0.18071448142649216,0.19799971361723084,0.18688888888888888,0.7864578741843099,0.659453828573197,0.7700718166575514,9,0.32744272659422147
0.3,106173,0.30005934885824104,0.699940651141759,0.5377296995532086,0.4622703004467914,0.28460672804818454,0.29588355746288914,0.2922222222222222,0.8470703419038385,0.7442827166111315,0.835144728834902,9,0.32744272659422147
0.5,176928,0.5000226090888538,0.49997739091114624,0.6961390176982695,0.3038609823017306,0.4791771033421154,0.49343314292876356,0.48866666666666664,0.9154067512496175,0.8526844307101099,0.9087274787068562,9,0.32744272659422147
